problem,old_ms,xt_ms,now_ms,status,old_to_now,xt_to_now
185,0.0,86.0,87.1,OK,,0.99
186,0.0,50.0,51.3,OK,,0.97
187,0.0,168.0,59.5,OK,,2.82
188,0.0,1.0,9.9,OK,,0.1
189,0.0,20.0,19.2,OK,,1.04
190,0.0,1.0,1.5,OK,,0.67
191,0.0,1.0,1.6,OK,,0.62
192,0.0,17.0,16.4,OK,,1.04
193,0.0,139.0,161.4,OK,,0.86
194,0.0,3.0,12.0,OK,,0.25
195,0.0,893.0,23.7,OK,,37.68
196,0.0,160.0,105.8,OK,,1.51
197,0.0,1.0,9.8,OK,,0.1
198,0.0,7.0,7.5,OK,,0.93
199,0.0,1.0,2.4,OK,,0.42
200,0.0,5.0,6.4,OK,,0.78
201,0.0,12.0,13.4,OK,,0.9
202,0.0,1.0,1.0,OK,,1.0
203,0.0,1.0,1.0,OK,,1.0
204,0.0,31.0,33.5,OK,,0.93
205,0.0,1.0,0.9,OK,,1.11
206,0.0,1.0,0.9,OK,,1.11
207,0.0,2.0,1.8,OK,,1.11
208,0.0,28.0,29.0,OK,,0.97
209,0.0,1.0,1.0,OK,,1.0
210,0.0,61.0,61.6,OK,,0.99
211,0.0,1394.0,646.0,OK,,2.16
212,0.0,204.0,16.2,OK,,12.59
213,0.0,10.0,10.9,OK,,0.92
214,0.0,658.0,142.3,OK,,4.62
215,0.0,6.0,7.0,OK,,0.86
216,0.0,1321.0,204.0,OK,,6.48
217,0.0,10.0,10.7,OK,,0.93
218,0.0,1.0,1.0,OK,,1.0
219,0.0,1.0,1.1,OK,,0.91
220,1.0,1.0,0.8,OK,1.25,1.25
221,2643.0,320.0,5.2,OK,508.27,61.54
222,10.0,1.0,1.0,OK,10.0,1.0
223,453.0,277.0,34.8,OK,13.02,7.96
224,44.0,23.0,23.5,OK,1.87,0.98
225,35.0,12.0,12.0,OK,2.92,1.0
226,2.0,1.0,1.1,OK,1.82,0.91
227,29.0,27.0,27.1,OK,1.07,1.0
228,2.0,1.0,0.9,OK,2.22,1.11
229,2484.0,510.0,12.3,OK,201.95,41.46
230,10.0,1.0,0.9,OK,11.11,1.11
231,922.0,346.0,5.8,OK,158.97,59.66
232,10.0,1.0,1.2,OK,8.33,0.83
233,225.0,107.0,127.8,OK,1.76,0.84
234,23.0,6.0,6.4,OK,3.59,0.94
235,2.0,1.0,1.0,OK,2.0,1.0
236,99.0,54.0,56.0,OK,1.77,0.96
237,2.0,1.0,1.0,OK,2.0,1.0
238,8034.0,3936.0,113.2,OK,70.97,34.77
239,10.0,1.0,1.1,OK,9.09,0.91
240,12.0,6.0,7.0,OK,1.71,0.86
241,25.0,10.0,10.0,OK,2.5,1.0
242,1.0,1.0,1.0,OK,1.0,1.0
243,1.0,1.0,1.0,OK,1.0,1.0
244,14.0,10.0,9.8,OK,1.43,1.02
245,3079.0,800.0,281.6,OK,10.93,2.84
246,10.0,1.0,1.0,OK,10.0,1.0
247,74.0,66.0,66.1,OK,1.12,1.0
248,136.0,65.0,67.9,OK,2.0,0.96
249,592.0,329.0,52.2,OK,11.34,6.30
250,171.0,89.0,8.5,OK,20.12,10.47
251,414.0,33.0,33.1,OK,12.51,1.0
252,179.0,100.0,100.7,OK,1.78,0.99
253,10.0,1.0,1.1,OK,9.09,0.91
254,54.0,24.0,24.4,OK,2.21,0.98
255,944.0,299.0,302.3,OK,3.12,0.99
256,3804.0,1472.0,158.6,OK,23.98,9.28
257,333.0,180.0,10.2,OK,32.65,17.65
258,58.0,34.0,34.6,OK,1.68,0.98
259,3753.0,1352.0,490.9,OK,7.65,2.75
260,389.0,210.0,10.9,OK,35.69,19.27
261,70.0,32.0,33.0,OK,2.12,0.97
262,141.0,105.0,105.9,OK,1.33,0.99
263,2307.0,17.0,18.1,OK,127.46,0.94
264,86.0,44.0,44.7,OK,1.92,0.98
265,2.0,1.0,1.3,OK,1.54,0.77
266,870.0,515.0,29.7,OK,29.29,17.34
267,10.0,1.0,1.2,OK,8.33,0.83
268,293.0,80.0,83.1,OK,3.53,0.96
269,36.0,18.0,18.9,OK,1.9,0.95
270,6.0,4.0,4.1,OK,1.46,0.98
271,3.0,1.0,1.7,OK,1.76,0.59
272,391.0,87.0,90.7,OK,4.31,0.96
273,331.0,194.0,200.2,OK,1.65,0.97
274,100.0,23.0,23.6,OK,4.24,0.97
275,2018.0,401.0,421.7,OK,4.79,0.95
276,354.0,113.0,117.5,OK,3.01,0.96
277,10.0,1.0,1.2,OK,8.33,0.83
278,2.0,1.0,1.3,OK,1.54,0.77
279,1352.0,783.0,20.2,OK,66.93,38.76
280,244.0,118.0,122.3,OK,2.0,0.96
281,10.0,1.0,1.1,OK,9.09,0.91
282,1.0,1.0,0.9,OK,1.11,1.11
283,1530.0,285.0,299.4,OK,5.11,0.95
284,769.0,635.0,5.0,OK,153.80,127.00
285,12.0,2.0,2.1,OK,5.71,0.95
286,2.0,1.0,1.6,OK,1.25,0.62
287,683.0,462.0,24.2,OK,28.22,19.09
288,45.0,31.0,31.2,OK,1.44,0.99
289,7.0,4.0,4.7,OK,1.49,0.85
290,20.0,11.0,12.1,OK,1.65,0.91
291,3439.0,947.0,214.1,OK,16.06,4.42
292,1414.0,565.0,89.3,OK,15.83,6.33
293,98.0,44.0,45.0,OK,2.18,0.98
294,15.0,12.0,12.6,OK,1.19,0.95
295,99.0,70.0,70.8,OK,1.4,0.99
296,1454.0,546.0,32.5,OK,44.74,16.80
297,10.0,1.0,0.9,OK,11.11,1.11
298,39.0,18.0,19.2,OK,2.03,0.94
299,909.0,549.0,4.6,OK,197.61,119.35
300,268.0,65.0,67.0,OK,4.0,0.97
301,10.0,1.0,0.9,OK,11.11,1.11
302,588.0,200.0,217.0,OK,2.71,0.92
303,263.0,107.0,104.4,OK,2.52,1.02
304,601.0,74.0,78.9,OK,7.62,0.94
305,17.0,4.0,4.3,OK,3.95,0.93
306,11.0,6.0,6.2,OK,1.77,0.97
307,1.0,1.0,1.2,OK,0.83,0.83
308,141.0,58.0,58.0,OK,2.43,1.0
309,959.0,274.0,26.2,OK,36.60,10.46
310,143.0,87.0,87.2,OK,1.64,1.0
311,1608.0,641.0,20.8,OK,77.31,30.82
312,0.0,1.0,1.1,OK,,0.91
313,5.0,3.0,3.0,OK,1.67,1.0
314,4746.0,3159.0,13.0,OK,365.08,243.00
315,109.0,62.0,64.1,OK,1.7,0.97
316,111.0,55.0,54.0,OK,2.06,1.02
317,2.0,1.0,1.1,OK,1.82,0.91
318,3.0,1.0,2.5,OK,1.2,0.4
319,1114.0,544.0,52.4,OK,21.26,10.38
320,1794.0,445.0,457.1,OK,3.92,0.97
321,0.0,1.0,1.0,OK,,1.0
322,1058.0,783.0,1.2,OK,881.67,652.5
323,1.0,1.0,0.9,OK,1.11,1.11
324,333.0,161.0,156.6,OK,2.13,1.03
