problem,time_ms,ipc,cache_miss_pct,branch_miss_pct,llc_misses,l1_misses,classification,top_func,top_func_pct
864,6379,0.40,89.8,4.2,283157,54601734,STALLED | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
680,6372,0.29,58.3,5.9,67500134,296184752,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
642,6313,0.73,46.1,0.2,6047495,78463684,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
932,6244,1.84,41.9,0.1,4385,23010,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
937,6190,0.54,88.7,3.1,39585048,182103839,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
971,5968,0.73,85.0,3.1,88940,51806022,STALLED | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
972,5895,0.43,68.1,3.0,32086997,286879921,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
421,5862,0.64,91.5,3.1,544941,102558146,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
608,5833,0.71,82.1,0.8,96695823,163204327,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
769,5831,1.61,76.9,0.1,9738161,40976518,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
947,5823,0.93,32.8,2.6,1983512,24152695,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
437,5792,0.79,86.0,2.2,4475822,60331340,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
521,5756,0.88,59.8,0.0,11374398,164927556,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
873,5756,0.90,16.7,0.8,12687,81229,MODERATE-IPC,,0.0
459,5554,1.38,12.2,0.1,38541724,3325187979,MODERATE-IPC,,0.0
592,5538,2.06,27.7,0.0,2398,21819,COMPUTE-BOUND,,0.0
482,5435,0.54,30.2,4.2,6356386,59463684,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
928,5430,1.46,20.6,0.2,262404,7498015,MODERATE-IPC,,0.0
433,5426,1.29,68.4,0.5,3759841,9074871,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
867,5354,1.57,64.0,7.7,638524,67102953,COMPUTE-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
557,5324,0.87,30.1,2.3,2185,27777,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
637,5285,1.50,53.7,0.6,172578,4966757,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
501,5175,0.64,73.2,0.4,5002165,190197400,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
416,5054,2.22,1.1,0.0,1586963,1039116986,COMPUTE-BOUND,,0.0
650,4960,0.87,35.0,4.4,117486,13241777,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
954,4959,1.37,31.2,4.7,50046622,841833923,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
583,4922,0.90,61.8,8.3,35818523,200723576,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
476,4755,1.36,3.2,0.2,30569,49996004,MODERATE-IPC,,0.0
314,4746,1.67,1.7,0.8,1944885,679358980,COMPUTE-BOUND,,0.0
578,4654,0.78,46.8,0.3,14395722,74318160,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
662,4632,2.06,41.7,0.0,37974585,673665847,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
465,4586,0.66,47.8,0.3,28225900,126410233,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
786,4548,0.97,78.7,1.1,3189066,256616735,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
799,4521,0.62,78.6,1.7,55157375,120370817,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
712,4471,0.59,42.6,0.0,2973232,79134533,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
763,4468,1.28,8.8,0.1,3272848,441457459,MODERATE-IPC,,0.0
654,4458,1.05,1.3,0.5,15212,127027821,MODERATE-IPC,,0.0
660,4366,0.94,7.1,3.3,1385,133659,MODERATE-IPC | BRANCH-HEAVY,,0.0
730,4301,1.81,17.2,1.6,8402,362302,COMPUTE-BOUND,,0.0
975,4252,2.99,4.4,0.3,2206,1222402,COMPUTE-EFFICIENT,,0.0
929,4224,1.32,3.4,0.3,238010,32002489,MODERATE-IPC,,0.0
337,4178,1.13,37.7,4.7,63601749,424953472,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
593,4031,0.65,84.5,1.6,706590,277380067,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
639,4017,1.47,52.2,0.5,635654,36118618,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
739,4005,1.13,88.3,0.2,22643516,137572433,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
852,3975,2.18,8.7,0.2,5706,677899,COMPUTE-BOUND,,0.0
548,3949,0.77,17.4,0.3,4404,231517,STALLED,,0.0
351,3865,0.32,74.7,0.8,125976562,281165799,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
256,3804,0.30,85.1,0.0,224414417,278961026,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
701,3787,1.60,42.3,3.5,8576410,98746603,COMPUTE-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
861,3781,0.89,35.2,0.0,4283923,99353489,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
259,3753,0.81,51.1,2.6,12774846,61239869,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
428,3732,2.04,5.3,0.5,125329,16666499,COMPUTE-BOUND,,0.0
963,3707,0.85,44.5,1.9,25751493,110142102,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
483,3696,1.50,19.3,0.7,13039931,183455478,MODERATE-IPC,,0.0
919,3672,0.58,63.4,3.2,10796302,32114609,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
983,3665,0.76,7.3,13.5,10127267,632267858,MEMORY-BOUND | BRANCH-HEAVY,,0.0
420,3633,0.14,82.3,0.5,202943638,293784344,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
870,3619,2.94,16.0,0.1,7239,90694446,COMPUTE-EFFICIENT,,0.0
596,3607,0.83,14.2,0.6,374,9551,MODERATE-IPC,,0.0
883,3589,1.34,18.1,2.0,350,6104,MODERATE-IPC,,0.0
538,3538,2.06,0.5,0.2,2659894,2875546378,COMPUTE-BOUND,,0.0
626,3495,0.88,18.5,0.5,18479,1350404,MODERATE-IPC,,0.0
414,3491,2.86,28.1,0.1,2264271,162181509,COMPUTE-EFFICIENT,,0.0
397,3462,1.00,18.7,1.3,428750,5981044,MODERATE-IPC,,0.0
291,3439,0.50,80.5,2.1,339108,184290620,STALLED | HIGH-CACHE-MISS,,0.0
718,3407,0.53,41.9,0.0,24711678,105238132,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
754,3406,1.08,75.6,4.1,1441850,88838636,MODERATE-IPC | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
977,3406,0.89,13.4,1.8,11558,2031862,MODERATE-IPC,,0.0
362,3390,1.77,12.1,0.3,1218666,70509507,COMPUTE-BOUND,,0.0
